station_name,ek
弁天橋,13534790
保谷,37034910
保田,62535070
保土ヶ谷,758035150
宝町,5522650
方南町,1534900
豊四季,49526530
豊洲,7526540
豊春,49526620
豊田,30526550
豊島園,7026130
北綾瀬,3010900
北浦和,12610970
北越谷,44011170
北鎌倉,758011100
北茅ヶ崎,19511370
北久里浜,11511120
北戸田,39511390
北鴻巣,758511140
北国分,56011160
北坂戸,38511190
北参道,4380835
北山田,77080827
北習志野,59011400
北春日部,44011050
北初富,53511500
北小金,50011150
北松戸,50011570
北上尾,758510880
北新横浜,17011280
北赤羽,39510870
北千住,76011310
北千束,21511320
北大宮,49511000
北池袋,38510930
北朝霞,33510890
北柏,50011040
北八王子,34011490
北品川,9511210
北府中,33511550
北本,758511600
北野,29511420
北与野,39511630
堀ノ内,11535240
堀切,44035200
堀切菖蒲園,55535210
本郷三丁目,7035340
本郷台,13035350
本駒込,5035370
本厚木,24535270
本鵠沼,25535300
本所吾妻橋,5535380
本庄,758535390
本庄早稲田,42054045
本千葉,62535430
本川越,35035290
本銚子,71563455
本納,61035460
本八幡,6539350
本蓮沼,6039290
麻布十番,7000800
幕張,57335640
幕張本郷,57335650
末広町,1020510
万願寺,30036220
妙典,2538520
妙蓮寺,22038540
明覚,34038420
明戸,49000570
明治神宮前,4339010
明大前,28039030
面影橋,8507220
茂原,61039370
毛呂,34039590
木下,52510630
木更津,63510750
木場,2511770
目黒,6039110
目白,539120
目白山下,14539140
門前仲町,7039600
門沢橋,19508580
野上,49029990
野田市,49530060
野島公園,14030040
野方,35029980
弥生台,18040540
矢口渡,21039810
矢向,18539830
矢切,56039760
矢川,18539710
矢部,19040190
矢野口,18540120
薬園台,53539780
柳小路,15040090
柳瀬川,38540110
柳生,47039750
有楽町,4040650
有明,7501580
有明テニスの森,7579995
由比ヶ浜,15040600
祐天寺,22040640
与野,12641220
与野本町,39541230
誉田,61035410
洋光台,13040830
用賀,23040800
用土,34040840
要町,4308710
踊場,17007020
落合,2506940
落合南長崎,7006960
立会川,9523090
立場,17023200
立川,32523100
立川南,30023120
立川北,30023110
立飛,30023150
流山,52027670
流山おおたかの森,76076125
流山セントラルパーク,76076120
流通センター,8041350
溜池山王,5023660
両国,7050045
緑が丘,21537110
緑園都市,18041390
緑町,73563805
鈴木町,10520680
恋ヶ窪,32013850
練馬,7029900
練馬高野台,37029920
練馬春日町,7029910
蓮根,6030540
蓮沼,20030530
蓮田,758030520
浪花,61027940
六浦,11038930
六会日大前,25538920
六郷土手,9541470
六実,49538950
六町,76076095
六本木,7041560
六本木一丁目,5041570
和戸,44041850
和光市,38541690
和泉多摩川,24002510
和田河原,73563845
和田町,17541790
和田塚,15041800
和銅黒谷,49013260
鷲宮,44041720
蕨,12641880
屏風浦,9533140
獨協大学前,44036040
籠原,758507750
糀谷,10014030
茗荷谷,1538430
葭川公園,59540980
螢田,24535090
鶯谷,12504160
